0,Start,Control,Start
1,Symbol,Data,foo
2,Call,Compound,Call
3,Return,Control,Return
4,Start,Control,Start
5,Symbol,Data,this
6,Symbol,Data,Array
7,Literal,Data,10
8,Allocation,Compound,Allocation
9,Literal,Data,0
10,Literal,Data,1
11,Store,Control,Store
12,Literal,Data,0
13,Load,Compound,Load
14,Branch,Control,Branch
15,Symbol,Data,console
16,Symbol,Data,log
17,Load,Compound,Load
18,Literal,Data,"""Test failed (1)"""
19,Call,Compound,Call
20,Return,Control,Return
21,BlockStart,Control,BlockStart
22,BlockEnd,Control,BlockEnd
23,BlockStart,Control,BlockStart
24,BlockEnd,Control,BlockEnd
25,Merge,Control,Merge
26,Literal,Data,0
27,Literal,Data,0
28,Load,Compound,Load
29,BinaryOperation,Data,==
30,Branch,Control,Branch
31,Symbol,Data,log
32,Load,Compound,Load
33,Literal,Data,"""Test failed (2)"""
34,Call,Compound,Call
35,Return,Control,Return
36,BlockStart,Control,BlockStart
37,BlockEnd,Control,BlockEnd
38,BlockStart,Control,BlockStart
39,BlockEnd,Control,BlockEnd
40,Merge,Control,Merge
41,Literal,Data,0
42,Literal,Data,1
43,Load,Compound,Load
44,BinaryOperation,Data,!=
45,Branch,Control,Branch
46,Symbol,Data,log
47,Load,Compound,Load
48,Literal,Data,"""Test failed (3)"""
49,Call,Compound,Call
50,Return,Control,Return
51,BlockStart,Control,BlockStart
52,BlockEnd,Control,BlockEnd
53,BlockStart,Control,BlockStart
54,BlockEnd,Control,BlockEnd
55,Merge,Control,Merge
56,Symbol,Data,log
57,Load,Compound,Load
58,Literal,Data,"""Test passed"""
59,Call,Compound,Call
60,Return,Control,Return
